millis,stamp,datetime,temp
9251000,1497834473,42905.04653,15.3
9251999,1497834474,42905.04653,15.3
9252999,1497834475,42905.04653,15.3
9253998,1497834476,42905.04653,15.3
9254999,1497834477,42905.04653,15.3
9255999,1497834478,42905.04653,15.3
9256999,1497834479,42905.04653,15.3
9257999,1497834480,42905.04722,15.3
9258999,1497834481,42905.04722,15.3
9259999,1497834482,42905.04722,15.3
9260999,1497834483,42905.04722,15.3
9261999,1497834484,42905.04722,15.3
9262999,1497834485,42905.04722,15.3
9263998,1497834486,42905.04722,15.3
9265000,1497834487,42905.04722,15.3
9265999,1497834488,42905.04722,15.3
9266999,1497834489,42905.04722,15.3
9267998,1497834490,42905.04722,15.3
9268999,1497834491,42905.04722,15.3
9270000,1497834492,42905.04722,15.3
9271000,1497834493,42905.04722,15.3
9272000,1497834494,42905.04722,15.3
9272998,1497834495,42905.04722,15.3
9274000,1497834496,42905.04722,15.3
9274998,1497834497,42905.04722,15.3
9275999,1497834498,42905.04722,15.3
9276999,1497834499,42905.04722,15.3
9278000,1497834500,42905.04722,15.3
9279000,1497834501,42905.04722,15.3
9280000,1497834502,42905.04722,15.3
9281000,1497834503,42905.04722,15.3
9281999,1497834504,42905.04722,15.3
9282999,1497834505,42905.04722,15.3
9283999,1497834506,42905.04722,15.3
9284999,1497834507,42905.04722,15.3
9285998,1497834508,42905.04722,15.3
