stamp,datetime,humidity,temperature
"1497825773","42904.94645","64.4","18.2"
"1497825774","42904.94646","64.4","18.2"
"1497825775","42904.94647","64.4","18.2"
"1497825776","42904.94648","64.4","18.2"
"1497825777","42904.94649","64.4","18.2"
"1497825778","42904.9465","64.4","18.2"
"1497825779","42904.94652","64.4","18.2"
"1497825780","42904.94653","64.4","18.2"
"1497825781","42904.94654","64.4","18.2"
"1497825782","42904.94655","64.4","18.2"
"1497825783","42904.94656","64.4","18.2"
"1497825784","42904.94657","64.4","18.2"
"1497825785","42904.94659","64.4","18.2"
"1497825786","42904.9466","64.4","18.2"
"1497825787","42904.94661","64.4","18.2"
"1497825788","42904.94662","64.4","18.2"
"1497825789","42904.94663","64.4","18.2"
"1497825790","42904.94664","64.4","18.2"
"1497825791","42904.94666","64.5","18.2"
"1497825792","42904.94667","64.5","18.2"
"1497825793","42904.94668","64.5","18.2"
"1497825794","42904.94669","64.5","18.2"
"1497825795","42904.9467","64.5","18.2"
"1497825796","42904.94671","64.5","18.2"
"1497825797","42904.94672","64.5","18.2"
"1497825798","42904.94674","64.5","18.2"
"1497825799","42904.94675","64.5","18.2"
"1497825800","42904.94676","64.5","18.2"
"1497825801","42904.94677","64.5","18.2"
"1497825802","42904.94678","64.5","18.2"
"1497825803","42904.94679","64.5","18.2"
"1497825804","42904.94681","64.5","18.2"
"1497825805","42904.94682","64.5","18.2"
"1497825806","42904.94683","64.5","18.2"
"1497825807","42904.94684","64.5","18.2"
"1497825808","42904.94685","64.5","18.2"
"1497825809","42904.94686","64.5","18.2"
"1497825810","42904.94688","64.5","18.2"
"1497825811","42904.94689","64.5","18.2"
"1497825812","42904.9469","64.5","18.2"
"1497825813","42904.94691","64.5","18.2"
"1497825814","42904.94692","64.5","18.2"
"1497825815","42904.94693","64.5","18.2"
"1497825816","42904.94694","64.5","18.2"
"1497825817","42904.94696","64.5","18.2"
"1497825818","42904.94697","64.5","18.2"
"1497825819","42904.94698","64.4","18.1"
"1497825820","42904.94699","64.4","18.1"
"1497825821","42904.947","64.5","18.2"
"1497825822","42904.94701","64.5","18.2"
"1497825823","42904.94703","64.4","18.1"
"1497825824","42904.94704","64.4","18.1"
"1497825825","42904.94705","64.4","18.1"
"1497825826","42904.94706","64.4","18.1"
"1497825827","42904.94707","64.4","18.1"
"1497825828","42904.94708","64.5","18.2"
"1497825829","42904.94709","64.5","18.2"
"1497825830","42904.94711","64.4","18.1"
"1497825831","42904.94712","64.4","18.1"
"1497825832","42904.94713","64.4","18.1"
"1497825833","42904.94714","64.4","18.1"
"1497825834","42904.94715","64.4","18.1"
"1497825835","42904.94716","64.4","18.1"
"1497825836","42904.94718","64.4","18.1"
"1497825837","42904.94719","64.4","18.1"
"1497825838","42904.9472","64.4","18.1"
"1497825839","42904.94721","64.4","18.1"
"1497825840","42904.94722","64.4","18.1"
"1497825841","42904.94723","64.4","18.1"
"1497825842","42904.94725","64.4","18.1"
"1497825843","42904.94726","64.4","18.1"
"1497825844","42904.94727","64.4","18.1"
"1497825845","42904.94728","64.4","18.1"
"1497825846","42904.94729","64.4","18.1"
"1497825847","42904.9473","64.4","18.1"
"1497825848","42904.94731","64.3","18.1"
"1497825849","42904.94733","64.3","18.1"
"1497825850","42904.94734","64.4","18.1"
"1497825851","42904.94735","64.4","18.1"
"1497825852","42904.94736","64.4","18.1"
"1497825853","42904.94737","64.4","18.1"
"1497825854","42904.94738","64.4","18.1"
"1497825855","42904.9474","64.4","18.1"
"1497825856","42904.94741","64.4","18.1"
"1497825857","42904.94742","64.3","18.1"
"1497825858","42904.94743","64.3","18.1"
"1497825859","42904.94744","64.3","18.1"
"1497825860","42904.94745","64.3","18.1"
"1497825861","42904.94747","64.3","18.1"
"1497825862","42904.94748","64.2","18.1"
"1497825863","42904.94749","64.2","18.1"
